deep,light,rem,wake
0,0,0,0
118,342,101,109
89,177,113,66
104,180,83,60
80,213,76,64
132,259,111,66
109,253,98,88
49,341,72,85
104,258,77,93
109,208,58,72
100,236,103,77
70,237,37,58
81,265,84,73
47,182,64,35
140,198,139,65
92,178,101,58
72,196,70,44
72,313,75,100
101,166,60,71
90,277,97,67
115,177,78,67
59,231,89,68
86,264,93,61
87,215,75,60
61,188,69,47
73,209,57,66
104,245,88,96
91,223,43,80
111,174,101,66
84,208,72,51
81,207,83,68
82,160,53,55
100,243,118,80
84,217,80,49
96,278,91,89
95,229,104,73
64,216,64,50
139,253,96,106
70,205,26,71
63,163,58,38
87,237,60,54
88,202,71,61
123,270,116,68
0,0,0,0
91,236,124,49
74,271,72,71
83,219,93,49
111,228,98,46
66,276,70,74
97,202,66,62
94,219,87,36
89,325,109,49
74,182,75,52
75,233,75,66
54,257,101,50
98,209,98,67
116,229,87,57
109,193,105,50
83,261,129,40
119,225,121,33
78,201,55,66
65,187,54,47
54,161,41,44
114,255,118,73
127,236,107,97
135,179,138,81
69,182,30,45
112,288,113,86
